Genus_species,CAAB,Region,Family,Min.depth,Max Depth,Common name,Primary Ecosystem
Bregmaceros atlanticus,37225003,North Coast,Bregmacerotidae,30,200,Antenna Codlet,Shelf Demersal (40-200m)
Bregmaceros mcclellandi,37225002,North Coast,Bregmacerotidae,30,200,Unicorn Codlet,Shelf Demersal (40-200m)
Bregmaceros nectabanus,37225005,North Coast,Bregmacerotidae,25,200,Australian Codlet,"Coastal (0-40m)
Shelf Demersal (40-200m)"
Bregmaceros pseudolanceolatus,37225007,North Coast,Bregmacerotidae,0,200,[a codlet],"Pelagic, Shelf (0-200m)"
Brosmolus longicaudus,37228040,North Coast,Dinematichthyidae,0,40,Longtail Cusk,Coastal (0-40m)
Brosmophyciops pautzkei,37228016,North Coast,Bythitidae,1,55,Slimy Cusk,Coastal (0-40m)
Brotula multibarbata,37228012,Gascoyne Coast,Ophidiidae,1,175,Bearded Cusk,"Coastal (0-40m)
Shelf Demersal (40-200m)"
Brotula multibarbata,37228012,North Coast,Ophidiidae,1,175,Bearded Cusk,"Coastal (0-40m)
Shelf Demersal (40-200m)"
Bryaninops amplus,37428075,North Coast,Gobiidae,5,30,Large Whipgoby,Coastal (0-40m)
Bryaninops erythrops,37428076,North Coast,Gobiidae,5,10,Fire-coral Goby,Coastal (0-40m)
Bryaninops loki,37428078,North Coast,Gobiidae,6,45,Loki Whipgoby,Coastal (0-40m)
Bryaninops natans,37428079,North Coast,Gobiidae,2,25,Purple-eye Goby,Coastal (0-40m)
Bryaninops nexus,37428080,North Coast,Gobiidae,3,50,Upside-down Goby,"Coastal (0-40m)
Shelf Demersal (40-200m)"
Bryaninops ridens,37428081,North Coast,Gobiidae,4,20,Porites Goby,Coastal (0-40m)
Bryaninops yongei,37428083,North Coast,Gobiidae,3,45,Seawhip Goby,Coastal (0-40m)
Bulbonaricus brauni,37282037,Gascoyne Coast,Syngnathidae,0,10,Braun's Pughead Pipefish,Coastal (0-40m)
Bulbonaricus brauni,37282037,North Coast,Syngnathidae,0,10,Braun's Pughead Pipefish,Coastal (0-40m)
Butis butis,37429009,North Coast,Eleotridae,0,40,Crimsontip Gudgeon,"Freshwater
Estuarine
Coastal (0-40m)"
Butis koilomatodon,37429014,North Coast,Eleotridae,0,40,Crested Gudgeon,"Freshwater
Estuarine
Coastal (0-40m)"
Cabillus lacertops,37428084,North Coast,Gobiidae,1,30,Lizard Cabillus,Coastal (0-40m)
Cabillus macrophthalmus,37428363,North Coast,Gobiidae,0,40,Bigeye Cabillus,Coastal (0-40m)
Cabillus tongarevae,37428085,North Coast,Gobiidae,1,25,Tail-bar Cabillus,Coastal (0-40m)
Caesio cuning,37346018,North Coast,Caesionidae,0,60,Yellowtail Fusilier,"Coastal (0-40m)
Shelf Demersal (40-200m)
Pelagic, Shelf (0-200m)"
Caesio lunaris,37346061,Gascoyne Coast,Caesionidae,1,30,Lunar Fusilier,"Coastal (0-40m)
Shelf Demersal (40-200m)
Pelagic, Shelf (0-200m)"
Caesio lunaris,37346061,North Coast,Caesionidae,1,30,Lunar Fusilier,"Coastal (0-40m)
Shelf Demersal (40-200m)
Pelagic, Shelf (0-200m)"
Caesioperca lepidoptera,37311002,South Coast,Serranidae,10,100,Butterfly Perch,"Coastal (0-40m)
Shelf Demersal (40-200m)"
Caesioperca rasor,37311003,South Coast,Serranidae,7,100,Barber Perch,"Coastal (0-40m)
Shelf Demersal (40-200m)"
Caesioperca rasor,37311003,West Coast,Serranidae,7,100,Barber Perch,"Coastal (0-40m)
Shelf Demersal (40-200m)"
Caesioscorpis theagenes,37311135,Gascoyne Coast,Caesioscorpididae,0,30,Blowhole Perch,Coastal (0-40m)
Caesioscorpis theagenes,37311135,South Coast,Caesioscorpididae,0,30,Blowhole Perch,Coastal (0-40m)
Caesioscorpis theagenes,37311135,West Coast,Caesioscorpididae,0,30,Blowhole Perch,Coastal (0-40m)
Callanthias allporti,37311004,South Coast,Callanthiidae,15,365,Rosy Perch,"Coastal (0-40m)
Shelf Demersal (40-200m)
Slope Demersal (200-2000m)"
Callanthias allporti,37311004,West Coast,Callanthiidae,15,365,Rosy Perch,"Coastal (0-40m)
Shelf Demersal (40-200m)
Slope Demersal (200-2000m)"
Callanthias australis,37311055,South Coast,Callanthiidae,20,365,Splendid Perch,"Coastal (0-40m)
Shelf Demersal (40-200m)
Slope Demersal (200-2000m)"
Callanthias australis,37311055,West Coast,Callanthiidae,20,365,Splendid Perch,"Coastal (0-40m)
Shelf Demersal (40-200m)
Slope Demersal (200-2000m)"
Callechelys marmorata,37068012,Gascoyne Coast,Ophichthidae,0,37,Marbled Snake Eel,Coastal (0-40m)
Callechelys marmorata,37068012,North Coast,Ophichthidae,0,37,Marbled Snake Eel,Coastal (0-40m)
Calliurichthys afilum,37427008,North Coast,Callionymidae,12,136,Lowfin Stinkfish,"Coastal (0-40m)
Shelf Demersal (40-200m)"
Calliurichthys australis,37427013,Gascoyne Coast,Callionymidae,40,100,Australian Stinkfish,Shelf Demersal (40-200m)
Calliurichthys australis,37427013,North Coast,Callionymidae,40,100,Australian Stinkfish,Shelf Demersal (40-200m)
Calliurichthys grossi,37427007,Gascoyne Coast,Callionymidae,0,60,Longnose Stinkfish,"Coastal (0-40m)
Shelf Demersal (40-200m)"
Calliurichthys grossi,37427007,North Coast,Callionymidae,0,60,Longnose Stinkfish,"Coastal (0-40m)
Shelf Demersal (40-200m)"
Callogobius depressus,37428087,South Coast,Gobiidae,0,30,Flathead Goby,Coastal (0-40m)
Callogobius depressus,37428087,West Coast,Gobiidae,0,30,Flathead Goby,Coastal (0-40m)
Callogobius flavobrunneus,37428364,North Coast,Gobiidae,3,20,Slimy Goby,Coastal (0-40m)
Callogobius maculipinnis,37428089,North Coast,Gobiidae,1,10,Ostrich Goby,Coastal (0-40m)
Callogobius mucosus,37428003,South Coast,Gobiidae,0,30,Sculptured Goby,Coastal (0-40m)
Callogobius mucosus,37428003,West Coast,Gobiidae,0,30,Sculptured Goby,Coastal (0-40m)
Callogobius sclateri,37428091,Gascoyne Coast,Gobiidae,1,35,Tripleband Goby,Coastal (0-40m)
Callogobius sclateri,37428091,North Coast,Gobiidae,1,35,Tripleband Goby,Coastal (0-40m)
Callorhinchus milii,37043001,South Coast,Callorhinchidae,0,200,Elephantfish,"Coastal (0-40m)
Shelf Demersal (40-200m)"
Calotomus carolinus,37386005,North Coast,Labridae: Scarinae,0,30,Star-eye Parrotfish,Coastal (0-40m)
Calotomus spinidens,37386006,Gascoyne Coast,Labridae: Scarinae,0,64,Spinytooth Parrotfish,Coastal (0-40m)
Calotomus spinidens,37386006,North Coast,Labridae: Scarinae,0,64,Spinytooth Parrotfish,Coastal (0-40m)
Calumia godeffroyi,37429015,North Coast,Eleotridae,7,30,Tail-face Calumia,Coastal (0-40m)
Calumia profunda,37429048,North Coast,Eleotridae,8,88,Longjaw Calumia,"Coastal (0-40m)
Shelf Demersal (40-200m)"
Campichthys galei,37282039,Gascoyne Coast,Syngnathidae,0,18,Gale's Pipefish,Coastal (0-40m)
Campichthys galei,37282039,South Coast,Syngnathidae,0,18,Gale's Pipefish,Coastal (0-40m)
Campichthys galei,37282039,West Coast,Syngnathidae,0,18,Gale's Pipefish,Coastal (0-40m)
Campichthys tricarinatus,37282040,North Coast,Syngnathidae,2,11,Three-keel Pipefish,Coastal (0-40m)
Cantherhines dumerilii,37465050,Gascoyne Coast,Monacanthidae,1,35,Barred Leatherjacket,Coastal (0-40m)
Cantherhines dumerilii,37465050,North Coast,Monacanthidae,1,35,Barred Leatherjacket,Coastal (0-40m)
Cantherhines fronticinctus,37465041,Gascoyne Coast,Monacanthidae,1,40,Spectacled Leatherjacket,"Coastal (0-40m)
Shelf Demersal (40-200m)"
Cantherhines fronticinctus,37465041,North Coast,Monacanthidae,1,40,Spectacled Leatherjacket,"Coastal (0-40m)
Shelf Demersal (40-200m)"
Cantherhines pardalis,37465051,Gascoyne Coast,Monacanthidae,1,22,Honeycomb Leatherjacket,Coastal (0-40m)
Cantherhines pardalis,37465051,North Coast,Monacanthidae,1,22,Honeycomb Leatherjacket,Coastal (0-40m)
Cantheschenia longipinnis,37465053,Gascoyne Coast,Monacanthidae,50,135,Smoothspine Leatherjacket,Shelf Demersal (40-200m)
Cantheschenia longipinnis,37465053,South Coast,Monacanthidae,50,135,Smoothspine Leatherjacket,Shelf Demersal (40-200m)
Cantheschenia longipinnis,37465053,West Coast,Monacanthidae,50,135,Smoothspine Leatherjacket,Shelf Demersal (40-200m)
Canthidermis maculatus,37465086,North Coast,Balistidae,15,55,Whitespotted Triggerfish,"Coastal (0-40m)
Shelf Demersal (40-200m)"
Canthigaster bennetti,37467037,North Coast,Tetraodontidae,1,30,Blackspot Toby,Coastal (0-40m)
Canthigaster cyanospilota,37467013,Gascoyne Coast,Tetraodontidae,2,80,Crowned Toby,"Coastal (0-40m)
Shelf Demersal (40-200m)"
Canthigaster cyanospilota,37467013,North Coast,Tetraodontidae,2,80,Crowned Toby,"Coastal (0-40m)
Shelf Demersal (40-200m)"
Canthigaster janthinoptera,37467040,Gascoyne Coast,Tetraodontidae,1,50,Spotted Toby,"Coastal (0-40m)
Shelf Demersal (40-200m)"
Canthigaster janthinoptera,37467040,North Coast,Tetraodontidae,1,50,Spotted Toby,"Coastal (0-40m)
Shelf Demersal (40-200m)"
Canthigaster papua,37467042,North Coast,Tetraodontidae,0,35,Netted Toby,Coastal (0-40m)
Canthigaster rivulata,37467018,Gascoyne Coast,Tetraodontidae,0,125,Ocellate Toby,"Coastal (0-40m)
Shelf Demersal (40-200m)"
Canthigaster rivulata,37467018,North Coast,Tetraodontidae,0,125,Ocellate Toby,"Coastal (0-40m)
Shelf Demersal (40-200m)"
